resource,source_file,object_id,object_name,terraform_type,terraform_name,terraform_address,import_id,command
authorization_server_claims,authorization_servers.json,ocl14igjt84oKmM7v698,aus14igjt70jcfQm9698_updated_at,okta_auth_server_claim,aus14igjt70jcfqm9698_updated_at,okta_auth_server_claim.aus14igjt70jcfqm9698_updated_at,aus14igjt70jcfQm9698/ocl14igjt84oKmM7v698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_updated_at aus14igjt70jcfQm9698/ocl14igjt84oKmM7v698
authorization_server_claims,authorization_servers.json,ocl14igjt820bJPz2698,aus14igjt70jcfQm9698_profile,okta_auth_server_claim,aus14igjt70jcfqm9698_profile_2,okta_auth_server_claim.aus14igjt70jcfqm9698_profile_2,aus14igjt70jcfQm9698/ocl14igjt820bJPz2698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_profile_2 aus14igjt70jcfQm9698/ocl14igjt820bJPz2698
authorization_server_claims,authorization_servers.json,ocl14igjt80gigYEY698,aus14igjt70jcfQm9698_preferred_username,okta_auth_server_claim,aus14igjt70jcfqm9698_preferred_username,okta_auth_server_claim.aus14igjt70jcfqm9698_preferred_username,aus14igjt70jcfQm9698/ocl14igjt80gigYEY698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_preferred_username aus14igjt70jcfQm9698/ocl14igjt80gigYEY698
authorization_server_claims,authorization_servers.json,ocl14igjt7ygoxpAZ698,aus14igjt70jcfQm9698_picture,okta_auth_server_claim,aus14igjt70jcfqm9698_picture,okta_auth_server_claim.aus14igjt70jcfqm9698_picture,aus14igjt70jcfQm9698/ocl14igjt7ygoxpAZ698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_picture aus14igjt70jcfQm9698/ocl14igjt7ygoxpAZ698
authorization_server_claims,authorization_servers.json,ocl14igjt7wW1YvCh698,aus14igjt70jcfQm9698_phone_number,okta_auth_server_claim,aus14igjt70jcfqm9698_phone_number,okta_auth_server_claim.aus14igjt70jcfqm9698_phone_number,aus14igjt70jcfQm9698/ocl14igjt7wW1YvCh698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_phone_number aus14igjt70jcfQm9698/ocl14igjt7wW1YvCh698
authorization_server_claims,authorization_servers.json,ocl14igjt7uF7g5RO698,aus14igjt70jcfQm9698_nickname,okta_auth_server_claim,aus14igjt70jcfqm9698_nickname,okta_auth_server_claim.aus14igjt70jcfqm9698_nickname,aus14igjt70jcfQm9698/ocl14igjt7uF7g5RO698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_nickname aus14igjt70jcfQm9698/ocl14igjt7uF7g5RO698
authorization_server_claims,authorization_servers.json,ocl14igjt7sXBmWrl698,aus14igjt70jcfQm9698_name,okta_auth_server_claim,aus14igjt70jcfqm9698_name,okta_auth_server_claim.aus14igjt70jcfqm9698_name,aus14igjt70jcfQm9698/ocl14igjt7sXBmWrl698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_name aus14igjt70jcfQm9698/ocl14igjt7sXBmWrl698
authorization_server_claims,authorization_servers.json,ocl14igjt78VbAyXP698,aus14igjt70jcfQm9698_sub,okta_auth_server_claim,aus14igjt70jcfqm9698_sub,okta_auth_server_claim.aus14igjt70jcfqm9698_sub,aus14igjt70jcfQm9698/ocl14igjt78VbAyXP698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_sub aus14igjt70jcfQm9698/ocl14igjt78VbAyXP698
authorization_server_claims,authorization_servers.json,ocl14igjt7oZeAtYL698,aus14igjt70jcfQm9698_locale,okta_auth_server_claim,aus14igjt70jcfqm9698_locale,okta_auth_server_claim.aus14igjt70jcfqm9698_locale,aus14igjt70jcfQm9698/ocl14igjt7oZeAtYL698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_locale aus14igjt70jcfQm9698/ocl14igjt7oZeAtYL698
authorization_server_claims,authorization_servers.json,ocl14igjt7mC64cpa698,aus14igjt70jcfQm9698_given_name,okta_auth_server_claim,aus14igjt70jcfqm9698_given_name,okta_auth_server_claim.aus14igjt70jcfqm9698_given_name,aus14igjt70jcfQm9698/ocl14igjt7mC64cpa698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_given_name aus14igjt70jcfQm9698/ocl14igjt7mC64cpa698
authorization_server_claims,authorization_servers.json,ocl14igjt7kdS8umO698,aus14igjt70jcfQm9698_gender,okta_auth_server_claim,aus14igjt70jcfqm9698_gender,okta_auth_server_claim.aus14igjt70jcfqm9698_gender,aus14igjt70jcfQm9698/ocl14igjt7kdS8umO698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_gender aus14igjt70jcfQm9698/ocl14igjt7kdS8umO698
authorization_server_claims,authorization_servers.json,ocl14igjt7ih7WHxi698,aus14igjt70jcfQm9698_family_name,okta_auth_server_claim,aus14igjt70jcfqm9698_family_name,okta_auth_server_claim.aus14igjt70jcfqm9698_family_name,aus14igjt70jcfQm9698/ocl14igjt7ih7WHxi698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_family_name aus14igjt70jcfQm9698/ocl14igjt7ih7WHxi698
authorization_server_claims,authorization_servers.json,ocl14igjt7gtkzWox698,aus14igjt70jcfQm9698_email_verified,okta_auth_server_claim,aus14igjt70jcfqm9698_email_verified,okta_auth_server_claim.aus14igjt70jcfqm9698_email_verified,aus14igjt70jcfQm9698/ocl14igjt7gtkzWox698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_email_verified aus14igjt70jcfQm9698/ocl14igjt7gtkzWox698
authorization_server_claims,authorization_servers.json,ocl14igjt7eIej61m698,aus14igjt70jcfQm9698_email,okta_auth_server_claim,aus14igjt70jcfqm9698_email_2,okta_auth_server_claim.aus14igjt70jcfqm9698_email_2,aus14igjt70jcfQm9698/ocl14igjt7eIej61m698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_email_2 aus14igjt70jcfQm9698/ocl14igjt7eIej61m698
authorization_server_claims,authorization_servers.json,ocl14igjt7c1YRDQ3698,aus14igjt70jcfQm9698_birthdate,okta_auth_server_claim,aus14igjt70jcfqm9698_birthdate,okta_auth_server_claim.aus14igjt70jcfqm9698_birthdate,aus14igjt70jcfQm9698/ocl14igjt7c1YRDQ3698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_birthdate aus14igjt70jcfQm9698/ocl14igjt7c1YRDQ3698
authorization_server_claims,authorization_servers.json,ocl14igjt7aqCcqCc698,aus14igjt70jcfQm9698_address,okta_auth_server_claim,aus14igjt70jcfqm9698_address_2,okta_auth_server_claim.aus14igjt70jcfqm9698_address_2,aus14igjt70jcfQm9698/ocl14igjt7aqCcqCc698,terraform import okta_auth_server_claim.aus14igjt70jcfqm9698_address_2 aus14igjt70jcfQm9698/ocl14igjt7aqCcqCc698
policies,policies.json,00p14igebgutc8Htt698,IDP_DISCOVERY_Idp Discovery Policy,okta_policy_idp_discovery,idp_discovery_idp_discovery_policy,okta_policy_idp_discovery.idp_discovery_idp_discovery_policy,00p14igebgutc8Htt698,terraform import okta_policy_idp_discovery.idp_discovery_idp_discovery_policy 00p14igebgutc8Htt698
policies,policies.json,00p14igjt8kIKU1HX698,MFA_ENROLL_Default Policy,okta_policy_mfa,mfa_enroll_default_policy,okta_policy_mfa.mfa_enroll_default_policy,00p14igjt8kIKU1HX698,terraform import okta_policy_mfa.mfa_enroll_default_policy 00p14igjt8kIKU1HX698
policies,policies.json,00p14igebdcAqI91x698,OKTA_SIGN_ON_Default Policy,okta_policy_signon,okta_sign_on_default_policy,okta_policy_signon.okta_sign_on_default_policy,00p14igebdcAqI91x698,terraform import okta_policy_signon.okta_sign_on_default_policy 00p14igebdcAqI91x698
policies,policies.json,00p14igebh0Cwrtqm698,PASSWORD_Default Policy,okta_policy_password,password_default_policy,okta_policy_password.password_default_policy,00p14igebh0Cwrtqm698,terraform import okta_policy_password.password_default_policy 00p14igebh0Cwrtqm698
